feature_value,class
-5.959233065477146,3
0.8467926585627605,3
-3.469508366199487,3
1.2768332934303115,2
0.6950470920739219,1
-2.511774447363846,3
-2.358330235633214,3
1.4467300054030232,1
2.8051070490500183,2
0.3444806773465306,1
0.8982474206766411,3
5.424288853164123,2
5.02527584387283,3
3.9272351299911032,2
-0.588902862137,1
1.112960765091939,2
-3.7520914284110134,3
0.4479212471890331,1
-1.0411861317630111,1
1.6247326580097117,2
-0.5786652152464941,1
1.0319467891612542,1
-7.318814755349662,3
-2.627996246931893,3
-2.6500038059864086,3
-1.791519267860683,3
1.9539694653903292,2
3.8686839518074,2
-0.2802895558969549,3
-1.556453034148611,3
-1.7284381254869483,1
4.9459072209935,2
-1.5725366490996553,2
0.5315870865330643,1
-0.5022636278534536,1
-0.4094165828001858,1
2.742181232307595,3
0.8756367526664892,3
-0.9718872637134978,1
-3.142782379194909,3
3.4296158633915534,2
2.1002610269682886,2
1.1094664918554293,2
-8.312804318405151,3
-0.18452893232102835,1
1.1036271418750867,1
2.0340415280174646,2
-2.2740740991788124,2
1.2180740232693918,2
0.5266905272047876,1
2.0809431583037163,2
-6.812274674318271,3
0.4178629388261075,2
-3.4921546851253584,3
2.995222569159601,2
-3.399569755684101,3
-2.5301033280605103,3
0.007691699815294218,1
-4.074543162119762,3
3.8267176182886526,2
0.3137003091541366,1
0.17085823439724834,1
3.5893283447435573,3
2.1555463179194154,1
7.655300896820639,2
-1.2162868315568331,1
-1.1553022352277784,2
-0.3073915442821458,1
-4.144117245155672,3
0.5814752837283651,1
0.36293618912102454,2
-3.9553739298290034,3
4.016599353430578,2
1.6603937970187246,1
-7.060837654803752,3
4.350115914786497,2
0.2667578905382503,1
-0.4151198332459821,1
4.7756240848875615,2
-1.1500853023908697,1
4.808682490269043,2
-1.7784328637213687,3
-2.0613871550308334,3
0.4758885818022257,1
1.38297225794261,3
0.9021940345094781,1
4.6133522502342705,2
1.2942842837070176,1
1.1535766993543326,1
3.3466282696030625,2
-5.055627034468724,3
2.7482105225429683,1
-2.265035670586826,3
6.259794027989614,2
0.4491336981830383,2
5.145345642409168,2
6.171763370709778,2
-0.5289529858877889,1
1.0325787501161978,2
-1.3968926789475244,3
-3.487909345347954,3
8.219174384873362,2
